Model,Variable,Variable Used in Risk Score Formula?,Platinum Level,Gold Level,Silver Level,Bronze Level,Catastrophic Level
Child,HHS_HCC061,Yes,0,0,0,0,0
Child,HHS_HCC062,Yes,0,0,0,0,0
Child,HHS_HCC063,Yes,1.429,1.254,1.116,0.988,0.976
Child,HHS_HCC064,Yes,0,0,0,0,0
Child,HHS_HCC066,Yes,60.496,60.019,59.64,59.614,59.611
Child,HHS_HCC067,Yes,0,0,0,0,0
Child,HHS_HCC068,Yes,0,0,0,0,0
Child,HHS_HCC069,Yes,0,0,0,0,0
Child,HHS_HCC070,Yes,0,0,0,0,0
Child,HHS_HCC071,Yes,0,0,0,0,0
Child,HHS_HCC073,Yes,0,0,0,0,0
Child,HHS_HCC074,Yes,0,0,0,0,0
Child,HHS_HCC075,Yes,4.665,4.546,4.444,4.371,4.363
Child,HHS_HCC081,Yes,0,0,0,0,0
Child,HHS_HCC082,Yes,0,0,0,0,0
Child,HHS_HCC087,Yes,4.816,4.47,4.215,4.085,4.071
Child,HHS_HCC088,Yes,2.205,1.998,1.824,1.645,1.628
Child,HHS_HCC089,Yes,2.119,1.922,1.754,1.576,1.559
Child,HHS_HCC090,Yes,0.623,0.519,0.407,0.26,0.245
Child,HHS_HCC094,Yes,2.645,2.46,2.308,2.227,2.218
Child,HHS_HCC096,Yes,2.114,1.957,1.845,1.792,1.786
Child,HHS_HCC097,Yes,1.78,1.634,1.522,1.431,1.423
Child,HHS_HCC102,Yes,2.007,1.827,1.668,1.503,1.487
Child,HHS_HCC103,Yes,0.682,0.589,0.482,0.347,0.336
Child,HHS_HCC106,Yes,0,0,0,0,0
Child,HHS_HCC107,Yes,0,0,0,0,0
Child,HHS_HCC108,Yes,0,0,0,0,0
Child,HHS_HCC109,Yes,0,0,0,0,0
Child,HHS_HCC110,Yes,3.674,3.483,3.335,3.244,3.236
Child,HHS_HCC111,Yes,4.955,4.758,4.596,4.51,4.503
Child,HHS_HCC112,Yes,2.964,2.765,2.636,2.639,2.639
Child,HHS_HCC113,Yes,0.487,0.392,0.322,0.263,0.261
Child,HHS_HCC114,Yes,1.43,1.31,1.216,1.144,1.137
Child,HHS_HCC115,Yes,9.745,9.584,9.457,9.436,9.437
Child,HHS_HCC117,Yes,0,0,0,0,0
Child,HHS_HCC118,Yes,10.439,10.097,9.828,9.795,9.791
Child,HHS_HCC119,Yes,0,0,0,0,0
Child,HHS_HCC120,Yes,2.003,1.851,1.712,1.566,1.552
Child,HHS_HCC121,Yes,4.217,4.107,4.025,4.005,4.004
Child,HHS_HCC122,Yes,5.718,5.594,5.492,5.449,5.444
Child,HHS_HCC125,Yes,31.867,31.759,31.681,31.818,31.83
Child,HHS_HCC126,Yes,0,0,0,0,0
Child,HHS_HCC127,Yes,0,0,0,0,0
Child,HHS_HCC128,Yes,0,0,0,0,0
Child,HHS_HCC129,Yes,0,0,0,0,0
Child,HHS_HCC130,Yes,5.77,5.671,5.585,5.541,5.536
Child,HHS_HCC131,Yes,5.164,5.09,5.048,5.035,5.033
Child,HHS_HCC132,Yes,3.836,3.759,3.702,3.671,3.67
Child,HHS_HCC135,Yes,11.876,11.77,11.688,11.669,11.668
Child,HHS_HCC137,Yes,4.76,4.602,4.445,4.329,4.319
Child,HHS_HCC138,Yes,1.343,1.247,1.129,1.011,1.001
Child,HHS_HCC139,Yes,0.873,0.785,0.682,0.589,0.582
Child,HHS_HCC142,Yes,3.747,3.589,3.451,3.374,3.366
Child,HHS_HCC145,Yes,12.662,12.448,12.294,12.288,12.289
Child,HHS_HCC146,Yes,5.396,5.318,5.27,5.281,5.285
Child,HHS_HCC149,Yes,3.38,3.194,3.062,2.987,2.979
Child,HHS_HCC150,Yes,4.165,4.058,3.984,3.951,3.945
Child,HHS_HCC151,Yes,3.506,3.377,3.287,3.258,3.257
Child,HHS_HCC153,Yes,11.696,11.46,11.285,11.21,11.202
Child,HHS_HCC154,Yes,14.177,14.065,13.975,13.996,13.997
Child,HHS_HCC156,Yes,13.557,13.449,13.37,13.406,13.41
Child,HHS_HCC158,Yes,22.358,22.099,21.896,21.922,21.925
Child,HHS_HCC159,Yes,22.358,22.099,21.896,21.922,21.925
Child,HHS_HCC160,Yes,0,0,0,0,0
Child,HHS_HCC161,Yes,0,0,0,0,0
Child,HHS_HCC162,Yes,3.075,2.973,2.874,2.803,2.797
Child,HHS_HCC163,Yes,8.195,8.139,8.091,8.123,8.126
Child,HHS_HCC183,Yes,12.322,12.052,11.856,11.829,11.824
Child,HHS_HCC184,Yes,36.027,35.917,35.828,35.931,35.94
Child,HHS_HCC187,Yes,0,0,0,0,0
Child,HHS_HCC188,Yes,0,0,0,0,0
Child,HHS_HCC203,Yes,0,0,0,0,0
Child,HHS_HCC204,Yes,0,0,0,0,0
Child,HHS_HCC205,Yes,0,0,0,0,0
Child,HHS_HCC207,Yes,0,0,0,0,0
Child,HHS_HCC208,Yes,0,0,0,0,0
Child,HHS_HCC209,Yes,0,0,0,0,0
Child,HHS_HCC217,Yes,2.337,2.247,2.159,2.087,2.08
Child,HHS_HCC226,Yes,5.451,5.177,4.955,4.844,4.836
Child,HHS_HCC227,Yes,1.667,1.537,1.406,1.265,1.25
Child,HHS_HCC242,Yes,0,0,0,0,0
Child,HHS_HCC243,Yes,0,0,0,0,0
Child,HHS_HCC244,Yes,0,0,0,0,0
Child,HHS_HCC245,Yes,0,0,0,0,0
Child,HHS_HCC246,Yes,0,0,0,0,0
Child,HHS_HCC247,Yes,0,0,0,0,0
Child,HHS_HCC248,Yes,0,0,0,0,0
Child,HHS_HCC249,Yes,0,0,0,0,0
Child,HHS_HCC251,Yes,22.358,22.099,21.896,21.922,21.925
Child,HHS_HCC253,Yes,11.384,11.271,11.197,11.307,11.317
Child,HHS_HCC254,Yes,6.739,6.5,6.325,6.211,6.199
Child,G01,Yes,2.548,2.232,2.03,1.748,1.72
Child,G02,Yes,7.949,7.724,7.536,7.494,7.49
Child,G03,Yes,3.918,3.717,3.556,3.48,3.473
Child,G04,Yes,1.396,1.287,1.188,1.105,1.097
Child,G06,Yes,14.744,14.623,14.533,14.502,14.498
Child,G07,Yes,6.955,6.742,6.572,6.484,6.476
Child,G08,Yes,5.856,5.713,5.599,5.539,5.533
Child,G09,Yes,5.64,5.385,5.204,5.125,5.119
Child,G10,Yes,11.528,11.464,11.429,11.509,11.517
Child,G11,Yes,9.2,9.031,8.886,8.872,8.866
Child,G12,Yes,2.547,2.372,2.243,2.141,2.131
Child,G13,Yes,9.784,9.56,9.41,9.375,9.369
Child,G14,Yes,22.358,22.099,21.896,21.922,21.925
Child,G15,Yes,0.373,0.309,0.224,0.133,0.125
Child,G16,Yes,4.151,4.02,3.912,3.815,3.809
Child,G17,Yes,1.059,0.904,0.76,0.533,0.507
Child,G18,Yes,2.896,2.511,2.293,1.987,1.95
,,,,,,,
Infant,EXTREMELY_IMMATURE_X_SEVERITY5,Yes,253.763,252.422,251.308,251.304,251.306
Infant,EXTREMELY_IMMATURE_X_SEVERITY4,Yes,154.074,152.661,151.499,151.388,151.376
Infant,EXTREMELY_IMMATURE_X_SEVERITY3,Yes,33.799,32.769,31.902,31.653,31.634
Infant,EXTREMELY_IMMATURE_X_SEVERITY2,Yes,33.799,32.769,31.902,31.653,31.634
Infant,EXTREMELY_IMMATURE_X_SEVERITY1,Yes,33.799,32.769,31.902,31.653,31.634
Infant,IMMATURE_X_SEVERITY5,Yes,159.649,158.315,157.209,157.194,157.192
Infant,IMMATURE_X_SEVERITY4,Yes,72.444,71.099,69.985,69.913,69.903
Infant,IMMATURE_X_SEVERITY3,Yes,32.79,31.659,30.727,30.518,30.498
Infant,IMMATURE_X_SEVERITY2,Yes,24.326,23.239,22.347,22.078,22.051
Infant,IMMATURE_X_SEVERITY1,Yes,24.326,23.239,22.347,22.078,22.051
Infant,PREMATURE_MULTIPLES_X_SEVERITY5,Yes,115.889,114.606,113.56,113.467,113.459
Infant,PREMATURE_MULTIPLES_X_SEVERITY4,Yes,27.442,26.218,25.238,25.027,25.01
Infant,PREMATURE_MULTIPLES_X_SEVERITY3,Yes,14.207,13.249,12.477,12.039,11.996
Infant,PREMATURE_MULTIPLES_X_SEVERITY2,Yes,8,7.266,6.646,6.016,5.948
Infant,PREMATURE_MULTIPLES_X_SEVERITY1,Yes,5.319,4.787,4.243,3.649,3.598
Infant,TERM_X_SEVERITY5,Yes,91.532,90.403,89.465,89.276,89.26
Infant,TERM_X_SEVERITY4,Yes,14.97,14.05,13.323,12.838,12.796
Infant,TERM_X_SEVERITY3,Yes,5.857,5.299,4.767,4.15,4.091
Infant,TERM_X_SEVERITY2,Yes,3.573,3.147,2.666,1.994,1.935
Infant,TERM_X_SEVERITY1,Yes,1.548,1.323,0.917,0.45,0.425
Infant,AGE1_X_SEVERITY5,Yes,54.547,53.88,53.323,53.226,53.218
Infant,AGE1_X_SEVERITY4,Yes,9.642,9.158,8.757,8.501,8.478
Infant,AGE1_X_SEVERITY3,Yes,3.059,2.786,2.512,2.264,2.246
Infant,AGE1_X_SEVERITY2,Yes,1.96,1.747,1.508,1.246,1.226
Infant,AGE1_X_SEVERITY1,Yes,0.522,0.445,0.332,0.253,0.248
Infant,AGE0_MALE,Yes,0.624,0.581,0.558,0.499,0.492
Infant,AGE1_MALE,Yes,0.108,0.093,0.079,0.054,0.052
